full_title,date
"Sage Stallone, son of actor #Sylvester_Stallone, has died, lawyer says",2012
Ruling does let Mississippi start administrative process that could eventually shut abortion clinic,2012
"Mississippi clinic can perform abortions despite new law, judge rules",2012
"Man found alive, 50 pounds lighter, after nearly a month in Utah desert",2012
"#Romney on CNN: Obama camp ""deceptive and dishonest"" about his years with Bain",2012
#Lemurs found to be world's most threatened mammals,2012
"#Richard_Zanuck, producer of #""Driving_Miss_Daisy"" and other films, has died",2012
"Syria believed to have moved some chemical weapons, U.S. official says.",2012
"Group home worker arrested after video surfaces that shows her abusing patient, police say.",2012
"3 Americans die as private jet crashes in southern France, official says.",2012
UK soccer player John Terry not guilty of racially abusing fellow soccer player.,2012
Billionaire's son arrested on suspicion of murder after body of American-born wife found in London home.,2012
"1,016 counties designated as disaster areas due to #drought, authorities say.",2012
Landslide in British Columbia destroys three homes; four people unaccounted for.,2012
"Delta flight to Madrid returns to New York after suspicious wires found, officials say.",2012
"Syrian opposition reports ""massacre"" in Hama province",2012
Politicians barred from speaking at this year's 9/11 ceremony in New York,2012
Nike to change name of Joe #Paterno Child Development Center on Oregon campus.,2012
4 climbers believed missing after French avalanche found alive.,2012
"George #Zimmerman no racist, witnesses tell FBI.",2012
#Paterno family issues statement in reaction to #FreehReport.,2012
Key players in the #FreehReport on Penn State scandal.,2012
"NCAA reviewing #PennState report, awaiting response on compliance, ethics issues.",2012
"Freeh: ""More red flags than you can count"" in #PennState abuse case.",2012
#FreehReport: #Sandusky seen showering with kids before May 1998.,2012
Key findings in the #FreehReport on #PennState abuse case.,2012
"#FreehReport: PSU Board of Trustees did not make ""reasonable inquiry"" about case.",2012
#PennState Board of Trustees scheduled to hold 3:30 p.m. ET news conference.,2012
Key passages from #FreehReport on Penn State abuse scandal.,2012
"Administrators ""empowered #Sandusky to attract potential victims,"" report says.",2012
"#FreehReport: Paterno, university president, athletic director failed to protect kids.",2012
Read the full #FreehReport on Penn State abuse case.,2012
